id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJeyqNuSBp0xQR7s4WHMJWmgs,Kalıpçıoğlu At Çiftliği & At Pansiyon & Binicilik,"Oğulbey, 06830 Gölbaşı/Ankara, Türkiye",39.6786289,32.8526011,"[""tour_agency"", ""travel_agency"", ""sports_activity_location"", ""point_of_interest"", ""establishment""]",4.7,215.0,PRICE_LEVEL_MODERATE
ChIJIY8YK3ZB0xQRlfZHO0Y9QvE,Losemili Cocuklar Koyu,"Konya Haymana Yolu Koparan Köyü Mevki, Koparan, 06830 Gölbaşı/Ankara, Türkiye",39.738413,32.673381,"[""amusement_center"", ""point_of_interest"", ""establishment""]",4.9,134.0,PRICE_LEVEL_MODERATE
ChIJoci3stoU0xQRZWsTLsuGJtA,Capital Country Club,"BALLIKPINAR MAH. BALLIKPINAR KÜME EVLERİ NO :231, Ballıkpınar, 06830 Gölbaşı/Ankara, Türkiye",39.7381082,32.7096004,"[""sports_complex"", ""sports_club"", ""meal_takeaway"", ""restaurant"", ""food"", ""sports_activity_location"", ""point_of_interest"", ""establishment""]",4.3,718.0,PRICE_LEVEL_MODERATE
ChIJscJ9L3IV0xQRFO0cw9trNNk,Tulumtas Cave,"Tulumtaş, 2302. Sk. 2 I, 06830 Gölbaşı/Ankara, Türkiye",39.7747875,32.6836406,"[""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,2237.0,PRICE_LEVEL_MODERATE
ChIJJ5sjF5pA0xQRT3ZyJX3c_fk,Gölbaşı AQUAPARK,"Karşıyaka, 439. Sk. No: 1 A, 06830, 06830 Gölbaşı/Ankara, Türkiye",39.7660303,32.7664417,"[""water_park"", ""amusement_park"", ""point_of_interest"", ""establishment""]",3.1,1482.0,PRICE_LEVEL_MODERATE
ChIJ1TCwlMNB0xQRpmRaKo-PSEQ,Ankara Büyükşehir Belediyesi Mogan Park,"Karşıyaka, 724. Sk., 06830 Gölbaşı/Ankara, Türkiye",39.7809156,32.7877897,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,4092.0,PRICE_LEVEL_MODERATE
ChIJP4pTUYtB0xQRD7rwj7mBSB0,Gölbaşı Mogan Stadium,"Gaziosmanpaşa, Sahil Caddesi No:2, 06830 Gölbaşı/Ankara, Türkiye",39.7723827,32.8031755,"[""stadium"", ""event_venue"", ""sports_complex"", ""sports_activity_location"", ""point_of_interest"", ""establishment""]",3.8,126.0,PRICE_LEVEL_MODERATE
ChIJT23Pb5E_0xQRCOLOktBj-iw,GUNAY ANKARA WEDDİNG & GARDEN & HALL,"İncek, Turgut Özal Blv. NO: 34, 06830 Gölbaşı/Ankara, Türkiye",39.8090246,32.7031905,"[""wedding_venue"", ""concert_hall"", ""auditorium"", ""event_venue"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.3,1049.0,PRICE_LEVEL_MODERATE
ChIJRR8UAbdb0xQRHYhfBYBjjBk,Elmadag Ski Resort,"Elmadağ Kayak Merkezi, Yakupabdal, 06705 Çankaya/Ankara, Türkiye",39.8062741,32.9644045,"[""ski_resort"", ""tourist_attraction"", ""sports_activity_location"", ""point_of_interest"", ""establishment""]",3.5,1787.0,PRICE_LEVEL_MODERATE
ChIJndZ9rdAX0xQROdyadKQqr5o,Neşeli köy tepetaklak ev,"Turkuaz, 06815 Etimesgut/Ankara, Türkiye",39.8218534,32.5719074,"[""cafeteria"", ""amusement_center"", ""park"", ""point_of_interest"", ""establishment""]",3.9,2694.0,PRICE_LEVEL_MODERATE
