id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJDzSz3DFm0xQRNhETrnPNIoQ,Beynam Ataturk Forest,"Beynam, 06720 Balâ/Ankara, Türkiye",39.6686076,32.9177951,"[""park"", ""point_of_interest"", ""establishment""]",3.7,1037.0,PRICE_LEVEL_MODERATE
ChIJg2SZw3NP0xQR4uJU-hJhXLM,BAKAP Parkı,"Karaoğlan, BAKAP, Karaoğlan, 06830 Gölbaşı/Ankara, Türkiye",39.7265685,32.8074272,"[""botanical_garden"", ""park"", ""point_of_interest"", ""establishment""]",4.4,758.0,PRICE_LEVEL_MODERATE
ChIJcad33Hhp0xQRPwnINK42BCI,BAKAP / BAŞKENT ANKARA KIRSAL KALKINMA PROJESİ,"Karaoğlan, 06830 Gölbaşı/Ankara, Türkiye",39.7251139,32.8106539,"[""park"", ""point_of_interest"", ""establishment""]",4.7,115.0,PRICE_LEVEL_MODERATE
ChIJsY6ZDbN30xQR3KNrH9pvEv4,ASELSAN Göleti,"Karaoğlan, 06830 Gölbaşı/Ankara, Türkiye",39.723505,32.8176492,"[""park"", ""point_of_interest"", ""establishment""]",4.8,345.0,PRICE_LEVEL_MODERATE
ChIJV1WvOPBB0xQRKFn_7nDsmMU,Sevgi Çiçeği Millet Bahçesi,"Karşıyaka, QQ6M+56, 06830 Gölbaşı/Ankara, Türkiye",39.7600958,32.7832863,"[""park"", ""point_of_interest"", ""establishment""]",4.2,225.0,PRICE_LEVEL_MODERATE
ChIJZSuj5n9q0xQRE6xoKK75g_8,KARMEN LOFT VİLLALARI,"Karşıyaka, 06830 Gölbaşı/Ankara, Türkiye",39.7652081,32.7637323,"[""park"", ""point_of_interest"", ""establishment""]",4.2,114.0,PRICE_LEVEL_MODERATE
ChIJaUvOpgtB0xQRop6dpvqUkDg,Gölbaşı Bahar Piknik Alanı,"Shell benzinlik karşısı, Karşıyaka, Haymana Yolu Blv. no:183, 06830 Gölbaşı/Ankara, Türkiye",39.7685315,32.7706317,"[""picnic_ground"", ""point_of_interest"", ""establishment""]",3.6,380.0,PRICE_LEVEL_MODERATE
ChIJ2TscXipB0xQR4LBv4B6nOPs,Mogan Gölü Mangal Alanı,"Karşıyaka, Mogan Gölü Rekreasyon Alanı, 06830 Gölbaşı/Ankara, Türkiye",39.7655531,32.7820588,"[""park"", ""point_of_interest"", ""establishment""]",4.3,732.0,PRICE_LEVEL_MODERATE
ChIJ1TCwlMNB0xQRpmRaKo-PSEQ,Ankara Büyükşehir Belediyesi Mogan Park,"Karşıyaka, 724. Sk., 06830 Gölbaşı/Ankara, Türkiye",39.7809156,32.7877897,"[""park"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,4092.0,PRICE_LEVEL_MODERATE
ChIJS0Mzd8JB0xQR8GLuL6FDF7g,Mogan golu guzel piknik yeri,"Karşıyaka, 06830 Gölbaşı/Ankara, Türkiye",39.7714144,32.7855308,"[""picnic_ground"", ""point_of_interest"", ""establishment""]",4.4,837.0,PRICE_LEVEL_MODERATE
ChIJ2aoaMLgX0xQRrJcHsl7pqsE,Karayolları Parkı,"Turkuaz, Turkuaz TOKİ Konutları 97 C, 06815 Yenimahalle/Ankara, Türkiye",39.806812,32.5704597,"[""park"", ""point_of_interest"", ""establishment""]",4.3,195.0,PRICE_LEVEL_MODERATE
ChIJ4T3HI4JB0xQR_rtTS_fVTQ8,Atatürk Beach Park,"Gaziosmanpaşa, Sahil Cd. No:3, 06830 Gölbaşı/Ankara, Türkiye",39.7896051,32.8032425,"[""park"", ""point_of_interest"", ""establishment""]",4.4,5037.0,PRICE_LEVEL_MODERATE
ChIJyYf_LWFB0xQRZEZtl2CqkjE,GÖLBAŞI ŞEHİR PARKI,"Seğmenler, Beyşehir Gölü Cd., 06830 Gölbaşı/Ankara, Türkiye",39.7942924,32.819326800000006,"[""park"", ""point_of_interest"", ""establishment""]",4.4,1922.0,PRICE_LEVEL_MODERATE
ChIJEeIKBNEX0xQRaTlh4N_65R8,Saklı Bahçe Park Piknik,"Yapracık, Yukarı Yurtçu Yolu No:242, 06815 Etimesgut/Ankara, Türkiye",39.8279086,32.5595983,"[""picnic_ground"", ""point_of_interest"", ""establishment""]",4.3,1170.0,PRICE_LEVEL_MODERATE
ChIJx8h1DwwZ0xQRTmFWcXlbk7g,Bağbaşı Piknik Alanı,"Yapracık, Toki Yapracık Konutları Yanı, Atayurt, Sincan Yolu No:23, 06815 Etimesgut/Ankara, Türkiye",39.8355557,32.5273387,"[""picnic_ground"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.5,153.0,PRICE_LEVEL_MODERATE
ChIJndZ9rdAX0xQROdyadKQqr5o,Neşeli köy tepetaklak ev,"Turkuaz, 06815 Etimesgut/Ankara, Türkiye",39.8218534,32.5719074,"[""cafeteria"", ""amusement_center"", ""park"", ""point_of_interest"", ""establishment""]",3.9,2694.0,PRICE_LEVEL_MODERATE
ChIJddINHctB0xQRCPYOAypQgBo,Budak Town,"Kızılcaşar Mahallesi, İncek, 1210. Sk. No:2, 06830 Gölbaşı/Ankara, Türkiye",39.8285861,32.734361,"[""restaurant"", ""picnic_ground"", ""corporate_office"", ""food"", ""point_of_interest"", ""establishment""]",3.8,1380.0,PRICE_LEVEL_MODERATE
