id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJaZ5aRdxw0xQRmja5QBM3iwY,Yamaç Lokantası,"Soğulcak, 06830 Gölbaşı/Ankara, Türkiye",39.52891,32.86128490000001,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3.9,248.0,PRICE_LEVEL_MODERATE
ChIJ7weES7Od1BQRh_DiZLU7SAg,Bala Merkez Lokantası,"Göztepe, Atatürk Blv., 06720 Bala/Ankara, Türkiye",39.5536738,33.123697,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3.9,339.0,PRICE_LEVEL_MODERATE
ChIJzVIHriVv0xQRU-3uDypMl2U,Nihat Et Mangal,"Ahiboz Mahallesi Konya Yolu 25.km Ahiboz San. Sit. No: 260/15, Ahiboz, 06830 Gölbaşı/Ankara, Türkiye",39.5995503,32.8476387,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.6,136.0,PRICE_LEVEL_MODERATE
ChIJBfUDsyZt0xQR5V35nHLwsrY,Söğüt Gölgesi,"Gökçehüyük, 06830 Gölbaşı/Ankara, Türkiye",39.6606101,32.7351264,"[""fine_dining_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.7,111.0,PRICE_LEVEL_MODERATE
ChIJ-VMwbOtt0xQR44VY-tfmM4s,Köfteci Yusuf,"Gökçehüyük, 06830 Gölbaşı/Ankara, Türkiye",39.6774027,32.7422837,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3.6,4995.0,PRICE_LEVEL_MODERATE
ChIJBQljMbFB0xQRvzmwLrOo34U,Ciğerci Resul,"Enes petrol içi, yeni, Ankara Konya Yolu 36. Km, 06830 Gölbaşı/Ankara, Türkiye",39.6633216,32.80848,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.9,111.0,PRICE_LEVEL_MODERATE
ChIJGyCNZJlu0xQRAcD7ScQb2fU,Güderler Et Mangal,"Yağlıpınar, 06830 Gölbaşı/Ankara, Türkiye",39.6528656,32.8156604,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.4,1000.0,PRICE_LEVEL_MODERATE
ChIJNZyopvJo0xQRB7mfl9hmbw0,Ayone Çiftliği,"KALEBOĞAZI MEVKİİ NO 59-60 Beynam, Beynam, 06720 Bala/Ankara, Türkiye",39.6841696,32.8756584,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.3,1157.0,PRICE_LEVEL_MODERATE
ChIJl2pfu1lp0xQRC3yENY9gEAk,Aselsan Gölbaşı 2 Sosyal Tesisler,"Karaoğlan, D:260, 06830 Gölbaşı/Ankara, Türkiye",39.7233915,32.813896,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",4.9,264.0,PRICE_LEVEL_MODERATE
ChIJx7B_pNwc0xQRGjf0vVLShpc,Kuğu Gölü Restaurant Et - Balık - Mangal,"Alagöz, 06909 Sincan/Ankara, Türkiye",39.743106,32.411705399999995,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3.8,252.0,PRICE_LEVEL_MODERATE
